Campaign_Row_ID,Campaign_ID,Budget,Clicks,CTR,CPC,Conversions,CPA,Conversion_Rate,Duration,Platform,Content_Type,Target_Age,Target_Gender,Region,Revenue,Spend,ROAS,Date,Impressions,Month,Quarter,CPC_Actual,CPA_Actual,ROAS_Actual,Budget_Variance,Budget_Variance_Pct
25,C5698,7880,438,0.0584,17.99,49,160.82,0.1119,28,Google,Text,18-24,Male,North America,4851,7643.6,0.63,2024-09-16,7500,2024-09,2024Q3,17.45,155.99,0.63,-236.4,-0.03
26,C6694,4360,502,0.0735,8.69,453,9.62,0.9024,20,Instagram,Image,25-34,Female,South America,26274,4447.2,5.91,2025-02-06,6829,2025-02,2025Q1,8.86,9.82,5.91,87.2,0.02
27,C3220,8820,1037,0.1358,8.51,21,420.0,0.0203,26,Facebook,Image,45-54,Female,South America,777,8908.2,0.09,2024-10-26,7636,2024-10,2024Q4,8.59,424.2,0.09,88.2,0.01
28,C7995,4400,311,0.2031,14.15,260,16.92,0.836,11,YouTube,Image,18-24,Male,South America,28340,4620.0,6.13,2024-04-13,1531,2024-04,2024Q2,14.86,17.77,6.13,220.0,0.05
29,C7506,5880,1125,0.1174,5.23,977,6.02,0.8684,25,Google,Video,18-24,Female,South America,130918,6056.4,21.62,2024-02-12,9582,2024-02,2024Q1,5.38,6.2,21.62,176.4,0.03
30,C5308,7050,723,0.2075,9.75,468,15.06,0.6473,8,Facebook,Video,18-24,Other,Africa,89388,7332.0,12.19,2024-10-12,3484,2024-10,2024Q4,10.14,15.67,12.19,282.0,0.04
31,C2608,2750,1455,0.2338,1.89,1395,1.97,0.9588,12,LinkedIn,Image,55+,Male,South America,223200,2777.5,80.36,2024-03-21,6223,2024-03,2024Q1,1.91,1.99,80.36,27.5,0.01
32,C2475,6970,1832,0.3724,3.8,1141,6.11,0.6228,12,LinkedIn,Video,55+,Male,North America,128933,7318.5,17.62,2024-07-01,4919,2024-07,2024Q3,3.99,6.41,17.62,348.5,0.05
33,C3998,5140,1956,0.3191,2.63,413,12.45,0.2111,12,LinkedIn,Carousel,55+,Male,Europe,55342,5397.0,10.25,2025-02-02,6129,2025-02,2025Q1,2.76,13.07,10.25,257.0,0.05
34,C6209,3960,829,0.0893,4.78,150,26.4,0.1809,13,YouTube,Image,18-24,Female,North America,8250,3999.6,2.06,2024-10-04,9283,2024-10,2024Q4,4.82,26.66,2.06,39.6,0.01
35,C4755,4740,635,0.1876,7.46,78,60.77,0.1228,12,LinkedIn,Text,18-24,Other,North America,3354,4550.4,0.74,2024-07-13,3384,2024-07,2024Q3,7.17,58.34,0.74,-189.6,-0.04
36,C4279,8900,1967,0.4551,4.52,390,22.82,0.1983,21,Facebook,Image,18-24,Other,Europe,39390,8633.0,4.56,2024-11-11,4322,2024-11,2024Q4,4.39,22.14,4.56,-267.0,-0.03
37,C8550,6400,1500,0.5427,4.27,1263,5.07,0.842,10,LinkedIn,Carousel,18-24,Female,South America,125037,6592.0,18.97,2024-08-13,2763,2024-08,2024Q3,4.39,5.22,18.97,192.0,0.03
38,C4057,5540,54,0.0093,102.59,29,191.03,0.537,24,YouTube,Text,55+,Other,North America,5133,5263.0,0.98,2024-03-11,5806,2024-03,2024Q1,97.46,181.48,0.98,-277.0,-0.05
39,C9797,8330,1235,0.3323,6.74,907,9.18,0.7344,14,Facebook,Image,45-54,Other,Africa,134236,8746.5,15.35,2024-03-02,3716,2024-03,2024Q1,7.08,9.64,15.35,416.5,0.05
40,C4318,7440,1584,1.3834,4.7,860,8.65,0.5429,12,Google,Carousel,55+,Other,Asia,138460,7068.0,19.59,2024-04-02,1145,2024-04,2024Q2,4.46,8.22,19.59,-372.0,-0.05
41,C6182,8180,1100,0.165,7.44,452,18.1,0.4109,14,LinkedIn,Text,45-54,Other,South America,54240,8507.2,6.38,2024-03-24,6666,2024-03,2024Q1,7.73,18.82,6.38,327.2,0.04
42,C7386,9130,108,0.0155,84.54,38,240.26,0.3519,30,LinkedIn,Carousel,55+,Other,South America,7600,9586.5,0.79,2024-04-29,6967,2024-04,2024Q2,88.76,252.28,0.79,456.5,0.05
43,C3248,7360,1948,0.9634,3.78,1587,4.64,0.8147,19,Facebook,Text,45-54,Male,Europe,234876,7728.0,30.39,2024-08-26,2022,2024-08,2024Q3,3.97,4.87,30.39,368.0,0.05
44,C5065,4000,493,0.0678,8.11,473,8.46,0.9594,25,Instagram,Video,45-54,Male,South America,31218,3840.0,8.13,2024-10-08,7271,2024-10,2024Q4,7.79,8.12,8.13,-160.0,-0.04
45,C5236,2090,751,0.3623,2.78,466,4.48,0.6205,20,Instagram,Text,35-44,Female,Europe,43804,2110.9,20.75,2024-12-21,2072,2024-12,2024Q4,2.81,4.53,20.75,20.9,0.01
46,C2760,7070,1219,0.5328,5.8,204,34.66,0.1674,17,YouTube,Carousel,35-44,Female,Africa,30804,7352.8,4.19,2024-11-19,2287,2024-11,2024Q4,6.03,36.04,4.19,282.8,0.04
47,C5987,5010,312,0.0878,16.06,76,65.92,0.2436,25,LinkedIn,Video,35-44,Female,Asia,14136,4959.9,2.85,2024-06-14,3553,2024-06,2024Q2,15.9,65.26,2.85,-50.1,-0.01
48,C8070,3020,1231,0.241,2.45,492,6.14,0.3997,23,YouTube,Image,25-34,Male,Africa,44280,2989.8,14.81,2024-09-26,5107,2024-09,2024Q3,2.43,6.08,14.81,-30.2,-0.01
49,C7438,2910,544,0.086,5.35,244,11.93,0.4485,14,Instagram,Image,55+,Female,North America,20496,2764.5,7.41,2024-07-27,6325,2024-07,2024Q3,5.08,11.33,7.41,-145.5,-0.05
50,C4391,7930,224,0.0417,35.4,70,113.29,0.3125,29,YouTube,Video,35-44,Other,Europe,8330,8247.2,1.01,2024-04-15,5371,2024-04,2024Q2,36.82,117.82,1.01,317.2,0.04
51,C2588,6710,1570,0.4906,4.27,1436,4.67,0.9146,24,YouTube,Image,25-34,Other,Europe,104828,6642.9,15.78,2024-07-20,3200,2024-07,2024Q3,4.23,4.63,15.78,-67.1,-0.01
52,C7291,2470,135,0.0147,18.3,77,32.08,0.5704,8,Facebook,Video,25-34,Other,Asia,14630,2445.3,5.98,2024-03-25,9183,2024-03,2024Q1,18.11,31.76,5.98,-24.7,-0.01
53,C4765,3060,1264,0.2901,2.42,341,8.97,0.2698,16,Google,Carousel,35-44,Female,North America,28644,3029.4,9.46,2025-01-18,4357,2025-01,2025Q1,2.4,8.88,9.46,-30.6,-0.01
54,C7311,9610,423,0.3246,22.72,78,123.21,0.1844,27,YouTube,Text,45-54,Male,Europe,11622,9225.6,1.26,2024-03-28,1303,2024-03,2024Q1,21.81,118.28,1.26,-384.4,-0.04
55,C2978,2170,394,0.0655,5.51,70,31.0,0.1777,27,LinkedIn,Image,25-34,Male,South America,11130,2061.5,5.4,2024-12-15,6015,2024-12,2024Q4,5.23,29.45,5.4,-108.5,-0.05
56,C2672,8340,1564,0.249,5.33,969,8.61,0.6196,19,LinkedIn,Image,35-44,Female,South America,76551,8173.2,9.37,2024-06-23,6281,2024-06,2024Q2,5.23,8.43,9.37,-166.8,-0.02
57,C1198,5780,163,0.0478,35.46,103,56.12,0.6319,16,Instagram,Image,18-24,Female,Europe,10403,5953.4,1.75,2024-12-10,3410,2024-12,2024Q4,36.52,57.8,1.75,173.4,0.03
58,C2879,5200,1159,0.4003,4.49,143,36.36,0.1234,17,LinkedIn,Image,35-44,Female,North America,15301,5460.0,2.8,2024-12-28,2895,2024-12,2024Q4,4.71,38.18,2.8,260.0,0.05
59,C2768,5570,494,0.1625,11.28,236,23.6,0.4777,23,Facebook,Video,55+,Female,Asia,27140,5458.6,4.97,2024-07-06,3040,2024-07,2024Q3,11.05,23.13,4.97,-111.4,-0.02
60,C2382,7940,943,0.1388,8.42,160,49.62,0.1697,22,LinkedIn,Carousel,18-24,Other,South America,15200,8178.2,1.86,2024-10-28,6793,2024-10,2024Q4,8.67,51.11,1.86,238.2,0.03
61,C5327,3180,410,0.1267,7.76,396,8.03,0.9659,10,YouTube,Image,45-54,Other,Europe,30096,3339.0,9.01,2024-06-16,3235,2024-06,2024Q2,8.14,8.43,9.01,159.0,0.05
62,C8534,9130,1897,0.5738,4.81,127,71.89,0.0669,25,Facebook,Image,45-54,Female,South America,17272,9038.7,1.91,2024-09-08,3306,2024-09,2024Q3,4.76,71.17,1.91,-91.3,-0.01
63,C6153,7510,544,0.1825,13.81,88,85.34,0.1618,14,YouTube,Video,55+,Other,North America,5016,7510.0,0.67,2024-09-25,2980,2024-09,2024Q3,13.81,85.34,0.67,0.0,0.0
64,C5259,2590,980,0.2695,2.64,551,4.7,0.5622,12,Instagram,Carousel,45-54,Female,North America,24244,2486.4,9.75,2024-11-03,3636,2024-11,2024Q4,2.54,4.51,9.75,-103.6,-0.04
65,C9489,4130,935,0.7397,4.42,652,6.33,0.6973,23,LinkedIn,Text,45-54,Other,North America,119316,4088.7,29.18,2024-07-30,1264,2024-07,2024Q3,4.37,6.27,29.18,-41.3,-0.01
66,C6841,2290,919,0.0975,2.49,220,10.41,0.2394,29,Google,Carousel,25-34,Male,Europe,28380,2198.4,12.91,2024-10-16,9425,2024-10,2024Q4,2.39,9.99,12.91,-91.6,-0.04
67,C2310,2070,777,0.1777,2.66,537,3.85,0.6911,26,Facebook,Text,55+,Female,North America,79476,1966.5,40.41,2024-10-27,4372,2024-10,2024Q4,2.53,3.66,40.41,-103.5,-0.05
68,C2224,5990,393,0.0504,15.24,372,16.1,0.9466,9,Google,Video,18-24,Male,Europe,30876,5990.0,5.15,2025-01-11,7797,2025-01,2025Q1,15.24,16.1,5.15,0.0,0.0
69,C2921,6340,585,0.0809,10.84,299,21.2,0.5111,12,LinkedIn,Text,18-24,Male,Africa,56511,6403.4,8.83,2024-11-08,7231,2024-11,2024Q4,10.95,21.42,8.83,63.4,0.01
70,C6627,3190,830,0.0997,3.84,24,132.92,0.0289,26,Google,Image,35-44,Other,Africa,2520,3285.7,0.77,2024-07-13,8324,2024-07,2024Q3,3.96,136.9,0.77,95.7,0.03
71,C3701,3470,181,0.1425,19.17,173,20.06,0.9558,16,Facebook,Text,18-24,Male,North America,30794,3435.3,8.96,2024-11-29,1270,2024-11,2024Q4,18.98,19.86,8.96,-34.7,-0.01
72,C4322,3740,813,0.0875,4.6,229,16.33,0.2817,10,Google,Text,25-34,Male,North America,21526,3814.8,5.64,2024-02-24,9291,2024-02,2024Q1,4.69,16.66,5.64,74.8,0.02
73,C7266,9030,1338,1.1925,6.75,1262,7.16,0.9432,28,Instagram,Carousel,55+,Male,Africa,193086,8578.5,22.51,2024-05-26,1122,2024-05,2024Q2,6.41,6.8,22.51,-451.5,-0.05
74,C6047,5850,556,0.0561,10.52,56,104.46,0.1007,30,YouTube,Image,25-34,Female,North America,8232,6025.5,1.37,2024-12-14,9910,2024-12,2024Q4,10.84,107.6,1.37,175.5,0.03
75,C6788,4730,1724,0.478,2.74,539,8.78,0.3126,17,YouTube,Video,45-54,Male,North America,76538,4824.6,15.86,2024-08-30,3606,2024-08,2024Q3,2.8,8.95,15.86,94.6,0.02
76,C8368,9640,258,0.1527,37.36,115,83.83,0.4457,16,YouTube,Video,25-34,Male,Africa,5405,9640.0,0.56,2024-06-11,1689,2024-06,2024Q2,37.36,83.83,0.56,0.0,0.0
77,C1811,8630,1370,0.2234,6.3,650,13.28,0.4745,27,YouTube,Text,45-54,Female,North America,103350,8284.8,12.47,2024-11-16,6132,2024-11,2024Q4,6.05,12.75,12.47,-345.2,-0.04
78,C7004,5440,353,0.179,15.41,260,20.92,0.7365,28,Instagram,Carousel,45-54,Other,Africa,13260,5494.4,2.41,2024-03-14,1972,2024-03,2024Q1,15.56,21.13,2.41,54.4,0.01
79,C1533,3480,85,0.0092,40.94,40,87.0,0.4706,7,LinkedIn,Carousel,45-54,Male,Europe,5440,3445.2,1.58,2024-12-18,9239,2024-12,2024Q4,40.53,86.13,1.58,-34.8,-0.01
80,C9963,4070,489,0.0544,8.32,17,239.41,0.0348,25,LinkedIn,Carousel,25-34,Other,Africa,2584,3947.9,0.65,2025-01-17,8988,2025-01,2025Q1,8.07,232.23,0.65,-122.1,-0.03
81,C1805,5820,1447,0.1502,4.02,521,11.17,0.3601,21,Instagram,Video,55+,Female,North America,87007,5936.4,14.66,2024-07-04,9633,2024-07,2024Q3,4.1,11.39,14.66,116.4,0.02
82,C6513,4470,1315,0.2208,3.4,419,10.67,0.3186,20,Facebook,Carousel,35-44,Male,Europe,51118,4291.2,11.91,2024-06-14,5955,2024-06,2024Q2,3.26,10.24,11.91,-178.8,-0.04
83,C4429,2450,307,0.1463,7.98,23,106.52,0.0749,20,Google,Text,35-44,Female,Asia,4462,2327.5,1.92,2024-07-30,2098,2024-07,2024Q3,7.58,101.2,1.92,-122.5,-0.05
84,C2000,2050,321,0.0467,6.39,200,10.25,0.6231,9,Facebook,Video,45-54,Other,Asia,37600,2111.5,17.81,2024-10-06,6873,2024-10,2024Q4,6.58,10.56,17.81,61.5,0.03
85,C9598,7600,1069,0.2562,7.11,236,32.2,0.2208,8,LinkedIn,Image,45-54,Other,Africa,38940,7904.0,4.93,2024-08-27,4172,2024-08,2024Q3,7.39,33.49,4.93,304.0,0.04
86,C7377,2550,1223,0.3811,2.09,455,5.6,0.372,10,Instagram,Text,25-34,Female,Africa,22750,2677.5,8.5,2024-07-26,3209,2024-07,2024Q3,2.19,5.88,8.5,127.5,0.05
87,C5838,5740,1931,1.3685,2.97,1079,5.32,0.5588,11,Google,Text,45-54,Male,South America,84162,5740.0,14.66,2024-12-26,1411,2024-12,2024Q4,2.97,5.32,14.66,0.0,0.0
88,C5542,4930,723,0.2746,6.82,271,18.19,0.3748,26,YouTube,Text,18-24,Female,South America,12195,4831.4,2.52,2024-10-04,2632,2024-10,2024Q4,6.68,17.83,2.52,-98.6,-0.02
89,C1776,5900,208,0.0213,28.37,195,30.26,0.9375,25,LinkedIn,Carousel,35-44,Female,Europe,36855,5900.0,6.25,2024-03-21,9765,2024-03,2024Q1,28.37,30.26,6.25,0.0,0.0
90,C1535,6590,627,0.119,10.51,550,11.98,0.8772,11,Facebook,Carousel,18-24,Female,Asia,45650,6392.3,7.14,2024-12-24,5268,2024-12,2024Q4,10.2,11.62,7.14,-197.7,-0.03
91,C2675,4210,867,0.16,4.86,589,7.15,0.6794,25,YouTube,Carousel,45-54,Male,Asia,48298,4167.9,11.59,2024-10-26,5418,2024-10,2024Q4,4.81,7.08,11.59,-42.1,-0.01
92,C1678,4950,693,0.0853,7.14,202,24.5,0.2915,25,YouTube,Text,55+,Male,Asia,39188,4702.5,8.33,2024-11-12,8124,2024-11,2024Q4,6.79,23.28,8.33,-247.5,-0.05
93,C5887,2050,1904,1.3668,1.08,869,2.36,0.4564,9,Instagram,Video,45-54,Other,Europe,155551,2111.5,73.67,2024-10-10,1393,2024-10,2024Q4,1.11,2.43,73.67,61.5,0.03
94,C9352,8680,1288,0.4411,6.74,978,8.88,0.7593,27,LinkedIn,Text,55+,Female,Asia,63570,8680.0,7.32,2024-04-04,2919,2024-04,2024Q2,6.74,8.88,7.32,0.0,0.0
95,C2828,3310,860,0.1555,3.85,151,21.92,0.1756,29,YouTube,Carousel,55+,Other,South America,26123,3210.7,8.14,2024-06-13,5530,2024-06,2024Q2,3.73,21.26,8.14,-99.3,-0.03
96,C6119,3200,499,0.0766,6.41,175,18.29,0.3507,21,LinkedIn,Video,55+,Other,Europe,16450,3264.0,5.04,2024-11-15,6514,2024-11,2024Q4,6.54,18.65,5.04,64.0,0.02
97,C7917,8270,1722,0.6766,4.8,734,11.27,0.4262,18,Google,Carousel,55+,Other,Africa,101292,8435.4,12.01,2025-01-31,2545,2025-01,2025Q1,4.9,11.49,12.01,165.4,0.02
98,C1977,2290,635,0.0923,3.61,398,5.75,0.6268,24,LinkedIn,Image,25-34,Male,North America,65670,2290.0,28.68,2024-03-26,6879,2024-03,2024Q1,3.61,5.75,28.68,0.0,0.0
99,C5105,2360,1084,0.1645,2.18,74,31.89,0.0683,29,LinkedIn,Image,18-24,Female,Europe,8732,2478.0,3.52,2024-07-14,6589,2024-07,2024Q3,2.29,33.49,3.52,118.0,0.05
100,C2033,7290,1432,0.2646,5.09,1424,5.12,0.9944,30,YouTube,Carousel,35-44,Other,Europe,271984,7435.8,36.58,2025-01-29,5411,2025-01,2025Q1,5.19,5.22,36.58,145.8,0.02
101,C2290,7220,1930,0.3256,3.74,1559,4.63,0.8078,10,Instagram,Carousel,55+,Other,Europe,308682,7292.2,42.33,2024-04-13,5927,2024-04,2024Q2,3.78,4.68,42.33,72.2,0.01
102,C2498,5350,906,0.2328,5.91,464,11.53,0.5121,7,YouTube,Carousel,25-34,Female,North America,66816,5082.5,13.15,2024-05-31,3891,2024-05,2024Q2,5.61,10.95,13.15,-267.5,-0.05
103,C3908,6120,1493,0.1671,4.1,1320,4.64,0.8841,7,Facebook,Video,25-34,Other,South America,201960,5875.2,34.38,2024-07-05,8934,2024-07,2024Q3,3.94,4.45,34.38,-244.8,-0.04
104,C1603,7240,416,0.1065,17.4,223,32.47,0.5361,8,YouTube,Video,45-54,Male,Europe,41924,7095.2,5.91,2024-05-24,3906,2024-05,2024Q2,17.06,31.82,5.91,-144.8,-0.02
105,C5900,4510,1465,0.1502,3.08,479,9.42,0.327,22,Facebook,Video,25-34,Other,South America,49337,4600.2,10.72,2024-09-02,9753,2024-09,2024Q3,3.14,9.6,10.72,90.2,0.02
106,C5414,3820,791,0.2423,4.83,763,5.01,0.9646,27,Facebook,Carousel,55+,Male,North America,61040,3705.4,16.47,2024-09-23,3264,2024-09,2024Q3,4.68,4.86,16.47,-114.6,-0.03
107,C5130,5040,1393,0.1598,3.62,1065,4.73,0.7645,20,YouTube,Image,45-54,Female,Europe,184245,5191.2,35.49,2024-04-11,8717,2024-04,2024Q2,3.73,4.87,35.49,151.2,0.03
108,C6300,3140,1418,0.2906,2.21,407,7.71,0.287,16,Google,Text,18-24,Female,South America,18722,3045.8,6.15,2024-10-25,4879,2024-10,2024Q4,2.15,7.48,6.15,-94.2,-0.03
109,C1153,8520,1604,0.2056,5.31,1562,5.45,0.9738,8,Instagram,Image,55+,Other,North America,306152,8775.6,34.89,2024-06-12,7801,2024-06,2024Q2,5.47,5.62,34.89,255.6,0.03
110,C7525,4470,175,0.0191,25.54,132,33.86,0.7543,16,YouTube,Carousel,45-54,Other,North America,9240,4470.0,2.07,2024-05-20,9162,2024-05,2024Q2,25.54,33.86,2.07,0.0,0.0
111,C4826,9800,1943,0.8006,5.04,1641,5.97,0.8446,23,LinkedIn,Image,18-24,Female,Africa,206766,9506.0,21.75,2024-08-03,2426,2024-08,2024Q3,4.89,5.79,21.75,-294.0,-0.03
112,C4095,4970,1975,0.3107,2.52,1894,2.62,0.959,9,LinkedIn,Image,45-54,Other,Africa,140156,4771.2,29.38,2024-03-22,6356,2024-03,2024Q1,2.42,2.52,29.38,-198.8,-0.04
113,C2277,7180,157,0.054,45.73,138,52.03,0.879,17,Google,Text,18-24,Other,Africa,5106,6964.6,0.73,2024-11-16,2907,2024-11,2024Q4,44.36,50.47,0.73,-215.4,-0.03
114,C8323,5880,352,0.0384,16.7,167,35.21,0.4744,9,Google,Text,35-44,Male,Asia,11690,5762.4,2.03,2024-06-23,9166,2024-06,2024Q2,16.37,34.51,2.03,-117.6,-0.02
115,C4161,6720,856,0.2289,7.85,541,12.42,0.632,15,LinkedIn,Carousel,55+,Other,Asia,17312,6451.2,2.68,2024-08-10,3739,2024-08,2024Q3,7.54,11.92,2.68,-268.8,-0.04
116,C3297,6770,1205,0.1246,5.62,869,7.79,0.7212,11,LinkedIn,Carousel,25-34,Female,South America,69520,6837.7,10.17,2024-02-16,9670,2024-02,2024Q1,5.67,7.87,10.17,67.7,0.01
117,C6444,8840,94,0.0306,94.04,19,465.26,0.2021,14,Facebook,Video,55+,Male,South America,1938,8751.6,0.22,2024-08-15,3071,2024-08,2024Q3,93.1,460.61,0.22,-88.4,-0.01
118,C1165,9280,1573,0.1827,5.9,1310,7.08,0.8328,22,Facebook,Carousel,18-24,Female,Asia,119210,9187.2,12.98,2024-10-06,8609,2024-10,2024Q4,5.84,7.01,12.98,-92.8,-0.01
119,C3167,9600,283,0.0357,33.92,98,97.96,0.3463,23,Google,Image,18-24,Other,Asia,13328,9504.0,1.4,2025-02-02,7927,2025-02,2025Q1,33.58,96.98,1.4,-96.0,-0.01
120,C4053,9100,1739,0.7988,5.23,1662,5.48,0.9557,30,Google,Video,35-44,Female,Asia,309132,8918.0,34.66,2024-05-10,2177,2024-05,2024Q2,5.13,5.37,34.66,-182.0,-0.02
121,C9760,2640,1670,0.2384,1.58,927,2.85,0.5551,15,Google,Video,35-44,Male,North America,95481,2692.8,35.46,2024-03-22,7005,2024-03,2024Q1,1.61,2.9,35.46,52.8,0.02
122,C2990,8580,1038,0.1289,8.27,721,11.9,0.6946,26,Facebook,Text,55+,Female,Europe,124733,8236.8,15.14,2024-07-19,8052,2024-07,2024Q3,7.94,11.42,15.14,-343.2,-0.04
123,C5489,5810,806,0.0845,7.21,310,18.74,0.3846,18,LinkedIn,Video,18-24,Other,Asia,41540,5577.6,7.45,2024-04-14,9538,2024-04,2024Q2,6.92,17.99,7.45,-232.4,-0.04
124,C1479,3660,957,0.1274,3.82,900,4.07,0.9404,29,Instagram,Image,35-44,Other,North America,164700,3623.4,45.45,2024-07-11,7511,2024-07,2024Q3,3.79,4.03,45.45,-36.6,-0.01
125,C2411,4510,935,0.774,4.82,822,5.49,0.8791,14,Facebook,Carousel,18-24,Female,Africa,163578,4329.6,37.78,2024-06-21,1208,2024-06,2024Q2,4.63,5.27,37.78,-180.4,-0.04
126,C4371,4040,1117,0.3712,3.62,100,40.4,0.0895,17,YouTube,Video,55+,Male,Asia,18600,4242.0,4.38,2024-06-13,3009,2024-06,2024Q2,3.8,42.42,4.38,202.0,0.05
127,C1053,7480,1565,0.1876,4.78,544,13.75,0.3476,28,Instagram,Carousel,35-44,Female,Africa,107712,7180.8,15.0,2024-08-31,8342,2024-08,2024Q3,4.59,13.2,15.0,-299.2,-0.04
128,C1011,8680,1764,0.4456,4.92,1692,5.13,0.9592,29,Google,Carousel,55+,Other,South America,309636,9027.2,34.3,2024-12-18,3958,2024-12,2024Q4,5.12,5.34,34.3,347.2,0.04
